geschlecht;abschluss;studiengang;dropout
m;bachelor;politikwissenschaft;nein
m;unbekannt;unbekannt;nein
m;unbekannt;unbekannt;ja
m;master;politikwissenschaft;nein
m;bachelor;politikwissenschaft;ja
w;unbekannt;unbekannt;ja
w;unbekannt;unbekannt;nein
m;unbekannt;unbekannt;nein
m;unbekannt;unbekannt;nein
m;bachelor;politikwissenschaft;nein
m;unbekannt;unbekannt;ja
m;bachelor;politikwissenschaft;nein
w;unbekannt;unbekannt;nein
w;bachelor;politikwissenschaft;ja
m;unbekannt;unbekannt;nein
m;master;politikwissenschaft;ja
w;bachelor;politikwissenschaft;ja
m;unbekannt;unbekannt;nein
m;bachelor;politikwissenschaft;nein
m;bachelor;wirtschaftswissenschaft;nein
w;unbekannt;unbekannt;nein
m;unbekannt;unbekannt;ja
m;bachelor;politikwissenschaft;ja
w;bachelor;politikwissenschaft;nein
